id,expected,corpus,split,sourceUrl,year,team,name,playerType,before,after
SEASON_8c0f74045116cf9d0bee,9,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/3484f.jpg,2009,LG,봉중근,Pitcher,9,9
SEASON_d75d0856a09738d910b6,9,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/1334f.jpg,2001,롯데,손민한,Pitcher,8,8
SEASON_04ceca8b3c781a3dc8d2,9,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/1340f.jpg,2007,롯데,손민한,Pitcher,9,9
SEASON_1f834e4c9dd1c1e7b9b5,9,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/3508f.jpg,2009,SK,송은범,Pitcher,8,8
SEASON_f64f954ceb5cca2f8c94,9,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/1653f.jpg,2002,삼성,엘비라,Pitcher,8,8
SEASON_e8fda9ab2ca8578719c4,9,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/1805f.jpg,2008,KIA,윤석민,Pitcher,10,10
SEASON_0435b70dedca58347b61,9,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/2342f.jpg,2008,우리,장원삼,Pitcher,9,9
SEASON_762f1459e4745d2e210a,9,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/2488f.jpg,2007,한화,정민철,Pitcher,9,9
SEASON_a7a443a313b8122dc26a,9,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/2491f.jpg,2003,현대,정민태,Pitcher,9,9
SEASON_6fc5fbb01b24a01538da,9,Article2010,Holdout,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/3743f.jpg,2009,롯데,조정훈,Pitcher,9,9
SEASON_0682b78e9d70b023e0d3,9,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/2820f.jpg,2008,SK,채병용,Pitcher,8,8
SEASON_13182e6fd4cc9b2dd8e3,9,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/3087f.jpg,2000,LG,해리거,Pitcher,10,10
SEASON_13a084838ec06c121de4,10,Article2010,Holdout,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/3313f.jpg,2009,SK,김광현,Pitcher,8,8
SEASON_133b6cbb40e1172040fc,10,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/885f.jpg,2007,한화,류현진,Pitcher,9,9
SEASON_f5283382d150027bc8ca,10,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/3409f.jpg,2009,한화,류현진,Pitcher,9,9
SEASON_e66618554fa7f52a9181,10,Article2010,Holdout,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/892f.jpg,2004,KIA,리오스,Pitcher,9,9
SEASON_525497b140e9ceb8d31f,10,Article2010,Holdout,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/894f.jpg,2005,두산,리오스,Pitcher,9,9
SEASON_9b14694a624a47ebdafb,10,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/1264f.jpg,2008,LG,봉중근,Pitcher,9,9
SEASON_ab3af4b601365853d36f,10,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/1339f.jpg,2006,롯데,손민한,Pitcher,9,9
SEASON_9a334aa87cbf91633b5d,10,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/1341f.jpg,2008,롯데,손민한,Pitcher,9,9
SEASON_24fdb33e03226e737bda,10,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/1971f.jpg,2003,한화,이상목,Pitcher,9,9
SEASON_7fe93baf362ff17f89d3,10,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/3024f.jpg,2002,KIA,키퍼,Pitcher,9,9
SEASON_bcafd08defb349600390,9,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/1693f.jpg,2006,삼성,오승환,Pitcher,8,8
SEASON_d23b74c0f40afdef244f,4,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/273f.jpg,2000,SK,김기덕,Pitcher,8,8
SEASON_f35bc7ca1ed6bde7d4fa,5,Article2010,Holdout,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/529f.jpg,2004,SK,김원형,Pitcher,8,8
SEASON_ba6439eefe561d40db63,5,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/1665f.jpg,2006,롯데,염종석,Pitcher,8,8
SEASON_4f7d4e89b897955a7716,5,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/2416f.jpg,2007,삼성,전병호,Pitcher,8,8
SEASON_2f44cb62b13d2078ea0a,5,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/2620f.jpg,2000,두산,조계현,Pitcher,7,7
SEASON_5ddf8fd1496b3e57f06b,5,Article2010,Holdout,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/3078f.jpg,2000,한화,한용덕,Pitcher,8,8
SEASON_eb1ff38dabb52261f378,6,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/261f.jpg,2004,LG,김광삼,Pitcher,8,8
SEASON_fb7aec433fa8481648c4,6,Article2010,Validation,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/858f.jpg,2008,두산,랜들,Pitcher,8,8
SEASON_8c3dcb251ade73da9f9b,6,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/1171f.jpg,2004,롯데,박지철,Pitcher,8,8
SEASON_7954bc4465efce39e288,6,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/1229f.jpg,2006,삼성,배영수,Pitcher,8,8
SEASON_49ed8ceb8f467f13a7e3,6,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/1304f.jpg,2008,KIA,서재응,Pitcher,6,6
SEASON_034a585d661a8d4bacff,6,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/1408f.jpg,2008,SK,송은범,Pitcher,8,8
SEASON_7a8a63518d25cb8fd3da,6,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/1973f.jpg,2005,롯데,이상목,Pitcher,8,8
SEASON_d0025e69c1442709de6e,6,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/3026f.jpg,2003,두산,키퍼,Pitcher,8,8
SEASON_054dc7e0e7731c147d07,7,Article2010,Holdout,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/449f.jpg,2007,현대,김수경,Pitcher,8,8
SEASON_2e6145273a0c933f5c8b,7,Article2010,Train,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/1335f.jpg,2002,롯데,손민한,Pitcher,8,8
