"WorkbookRow","Year","TeamContext","PlayerName","Cost","SourceDate","SourceUrl","SameYearNameCandidates","SameArticleSameCostCandidates","SameArticleOtherCostCandidates","ReviewStatus"
"57","2008","롯데","송승준","8","2011","https://www.inven.co.kr/webzine/news/?news=86963&site=bm","1","1","0","CandidateOnly_NoAutomaticMerge"
"58","2008","롯데","장원준","8","2011","https://www.inven.co.kr/webzine/news/?news=86963&site=bm","1","1","0","CandidateOnly_NoAutomaticMerge"
"59","2008","롯데","강민호","8","2011","https://www.inven.co.kr/webzine/news/?news=86963&site=bm","1","1","0","CandidateOnly_NoAutomaticMerge"
"60","2010","롯데","이대호","10","2011","https://www.inven.co.kr/webzine/news/?news=86963&site=bm","1","1","0","CandidateOnly_NoAutomaticMerge"
"61","2010","롯데","조성환","9","2011","https://www.inven.co.kr/webzine/news/?news=86963&site=bm","1","1","0","CandidateOnly_NoAutomaticMerge"
"62","2010","롯데","사도스키","8","2011","https://www.inven.co.kr/webzine/news/?news=86963&site=bm","1","1","0","CandidateOnly_NoAutomaticMerge"
"63","2010","롯데","김주찬","8","2011","https://www.inven.co.kr/webzine/news/?news=86963&site=bm","1","1","0","CandidateOnly_NoAutomaticMerge"
"64","2010","롯데","홍성흔","8","2011","https://www.inven.co.kr/webzine/news/?news=86963&site=bm","1","1","0","CandidateOnly_NoAutomaticMerge"
"65","2007","한화","류현진","10","2011","https://www.inven.co.kr/webzine/news/?news=86963&site=bm","1","1","0","CandidateOnly_NoAutomaticMerge"
"66","2007","한화","정민철","9","2011","https://www.inven.co.kr/webzine/news/?news=86963&site=bm","1","1","0","CandidateOnly_NoAutomaticMerge"
"67","2007","한화","크루즈","8","2011","https://www.inven.co.kr/webzine/news/?news=86963&site=bm","1","1","0","CandidateOnly_NoAutomaticMerge"
"68","2007","한화","김태균","8","2011","https://www.inven.co.kr/webzine/news/?news=86963&site=bm","1","1","0","CandidateOnly_NoAutomaticMerge"
"69","2007","한화","이범호","8","2011","https://www.inven.co.kr/webzine/news/?news=86963&site=bm","1","1","0","CandidateOnly_NoAutomaticMerge"
"70","1994","태평양","정명원","9","2011","https://www.inven.co.kr/webzine/news/?news=86963&site=bm","1","1","0","CandidateOnly_NoAutomaticMerge"
"71","1994","태평양","김홍집","8","2011","https://www.inven.co.kr/webzine/news/?news=86963&site=bm","1","1","0","CandidateOnly_NoAutomaticMerge"
"72","1994","태평양","최상덕","8","2011","https://www.inven.co.kr/webzine/news/?news=86963&site=bm","1","1","0","CandidateOnly_NoAutomaticMerge"
"73","1994","태평양","윤덕규","8","2011","https://www.inven.co.kr/webzine/news/?news=86963&site=bm","1","1","0","CandidateOnly_NoAutomaticMerge"
"74","1994","태평양","김경기","8","2011","https://www.inven.co.kr/webzine/news/?news=86963&site=bm","1","1","0","CandidateOnly_NoAutomaticMerge"
"75","2004","삼성","배영수","8","2011","https://www.inven.co.kr/webzine/news/?news=86966","1","0","0","CandidateOnly_NoAutomaticMerge"
"76","2004","삼성","박한이","8","2011","https://www.inven.co.kr/webzine/news/?news=86966","1","0","0","CandidateOnly_NoAutomaticMerge"
"77","2004","삼성","양준혁","8","2011","https://www.inven.co.kr/webzine/news/?news=86966","1","0","0","CandidateOnly_NoAutomaticMerge"
"78","1997","삼성","양준혁","10","2011","https://www.inven.co.kr/webzine/news/?news=86966","1","1","0","CandidateOnly_NoAutomaticMerge"
"79","1997","삼성","최익성","9","2011","https://www.inven.co.kr/webzine/news/?news=86966","1","1","0","CandidateOnly_NoAutomaticMerge"
"80","1997","삼성","이승엽","9","2011","https://www.inven.co.kr/webzine/news/?news=86966","1","1","0","CandidateOnly_NoAutomaticMerge"
"81","1997","삼성","신동주","9","2011","https://www.inven.co.kr/webzine/news/?news=86966","1","1","0","CandidateOnly_NoAutomaticMerge"
"82","1997","삼성","박충식","8","2011","https://www.inven.co.kr/webzine/news/?news=86966","1","1","0","CandidateOnly_NoAutomaticMerge"
"83","1997","삼성","김상엽","8","2011","https://www.inven.co.kr/webzine/news/?news=86966","1","1","0","CandidateOnly_NoAutomaticMerge"
"84","1997","삼성","김태한","8","2011","https://www.inven.co.kr/webzine/news/?news=86966","1","1","0","CandidateOnly_NoAutomaticMerge"
"85","1997","삼성","김한수","8","2011","https://www.inven.co.kr/webzine/news/?news=86966","1","1","0","CandidateOnly_NoAutomaticMerge"
"86","1997","삼성","정경배","8","2011","https://www.inven.co.kr/webzine/news/?news=86966","1","1","0","CandidateOnly_NoAutomaticMerge"
"87","2000","현대","임선동","10","2011","https://www.inven.co.kr/webzine/news/?news=86966","1","1","0","CandidateOnly_NoAutomaticMerge"
